"","V1"
"inaug_ThomasJefferson_2_21",4
"inaug_ThomasJefferson_2_22",4
"inaug_ThomasJefferson_2_23",4
"inaug_ThomasJefferson_2_24",4
"inaug_ThomasJefferson_2_25",4
"inaug_ThomasJefferson_2_26",4
"inaug_ThomasJefferson_2_27",4
"inaug_ThomasJefferson_2_28",1
"inaug_ThomasJefferson_2_29",1
"inaug_ThomasJefferson_2_30",2
"inaug_ThomasJefferson_2_31",2
"inaug_ThomasJefferson_2_32",2
"inaug_ThomasJefferson_2_33",4
"inaug_ThomasJefferson_2_34",2
"inaug_ThomasJefferson_2_35",14
"inaug_ThomasJefferson_2_36",14
"inaug_ThomasJefferson_2_37",2
"inaug_ThomasJefferson_2_38",2
"inaug_ThomasJefferson_2_39",2
"inaug_ThomasJefferson_2_40",2
"inaug_ThomasJefferson_2_41",2
"inaug_ThomasJefferson_2_42",2
"inaug_ThomasJefferson_2_43",2
"inaug_ThomasJefferson_2_44",5
"inaug_ThomasJefferson_2_45",5
"inaug_ThomasJefferson_2_46",5
"inaug_ThomasJefferson_2_47",2
"inaug_ThomasJefferson_2_48",2
"inaug_ThomasJefferson_2_49",2
"inaug_ThomasJefferson_2_50",2
"inaug_ThomasJefferson_2_51",2
"inaug_ThomasJefferson_2_52",2
"inaug_ThomasJefferson_2_53",2
"inaug_ThomasJefferson_2_54",5
"inaug_ThomasJefferson_2_55",12
"inaug_ThomasJefferson_2_56",5
"inaug_ThomasJefferson_2_57",2
"inaug_ThomasJefferson_2_58",2
"inaug_ThomasJefferson_2_59",2
"inaug_ThomasJefferson_2_60",2
"inaug_ThomasJefferson_2_61",2
"inaug_ThomasJefferson_2_62",14
"inaug_ThomasJefferson_2_63",3
"inaug_ThomasJefferson_2_64",2
"inaug_ThomasJefferson_2_65",2
"inaug_ThomasJefferson_2_66",2
"inaug_ThomasJefferson_2_67",2
"inaug_ThomasJefferson_2_68",2
"inaug_ThomasJefferson_2_69",2
"inaug_ThomasJefferson_2_70",2
"inaug_JamesMadison_1_2",2
"inaug_JamesMadison_1_3",2
"inaug_JamesMadison_1_4",2
"inaug_JamesMadison_1_5",2
"inaug_JamesMadison_1_6",1
"inaug_JamesMadison_1_7",1
"inaug_JamesMadison_1_8",2
"inaug_JamesMadison_1_9",2
"inaug_JamesMadison_1_10",2
"inaug_JamesMadison_1_11",12
"inaug_JamesMadison_1_12",2
"inaug_JamesMadison_1_13",4
"inaug_JamesMadison_1_14",2
"inaug_JamesMadison_1_15",2
"inaug_JamesMadison_1_16",2
"inaug_JamesMadison_1_17",2
"inaug_JamesMadison_1_18",2
"inaug_JamesMadison_1_19",12
