"","V1"
"inaug_DonaldJTrump_1_29",7
"inaug_DonaldJTrump_1_30",6
"inaug_DonaldJTrump_1_31",6
"inaug_DonaldJTrump_1_32",10
"inaug_DonaldJTrump_1_33",10
"inaug_DonaldJTrump_1_34",6
"inaug_DonaldJTrump_1_35",6
"inaug_DonaldJTrump_1_36",6
"inaug_DonaldJTrump_1_37",10
"inaug_DonaldJTrump_1_38",7
"inaug_DonaldJTrump_1_39",7
"inaug_DonaldJTrump_1_40",7
"inaug_DonaldJTrump_1_41",7
"inaug_DonaldJTrump_1_42",6
"inaug_DonaldJTrump_1_43",6
"inaug_DonaldJTrump_1_44",3
"inaug_DonaldJTrump_1_45",15
"inaug_DonaldJTrump_1_46",15
"inaug_DonaldJTrump_1_47",15
"inaug_DonaldJTrump_1_48",15
"inaug_DonaldJTrump_1_49",3
"inaug_DonaldJTrump_1_50",3
"inaug_DonaldJTrump_1_51",3
"inaug_DonaldJTrump_1_52",3
"inaug_DonaldJTrump_1_53",3
"inaug_DonaldJTrump_1_54",3
"inaug_DonaldJTrump_1_55",3
"inaug_DonaldJTrump_1_56",3
"inaug_DonaldJTrump_1_57",3
"inaug_DonaldJTrump_1_58",3
"inaug_DonaldJTrump_1_59",3
"inaug_DonaldJTrump_1_60",3
"inaug_DonaldJTrump_1_61",9
"inaug_DonaldJTrump_1_62",9
"inaug_DonaldJTrump_1_63",11
"inaug_DonaldJTrump_1_64",11
"inaug_DonaldJTrump_1_65",8
"inaug_DonaldJTrump_1_66",12
"inaug_DonaldJTrump_1_67",15
"inaug_DonaldJTrump_1_68",3
"inaug_DonaldJTrump_1_69",3
"inaug_DonaldJTrump_1_70",3
"inaug_DonaldJTrump_1_71",9
"inaug_DonaldJTrump_1_72",9
"inaug_DonaldJTrump_1_73",9
"inaug_DonaldJTrump_1_74",6
"inaug_DonaldJTrump_1_75",10
"inaug_DonaldJTrump_1_76",10
"inaug_DonaldJTrump_1_77",13
"inaug_DonaldJTrump_1_78",15
"inaug_DonaldJTrump_1_79",15
"inaug_DonaldJTrump_1_80",15
"inaug_DonaldJTrump_1_81",6
"inaug_DonaldJTrump_1_82",6
"inaug_DonaldJTrump_1_83",6
"inaug_DonaldJTrump_1_84",6
"inaug_DonaldJTrump_1_85",6
"inaug_DonaldJTrump_1_86",3
"inaug_DonaldJTrump_1_87",3
"inaug_DonaldJTrump_1_88",3
"inaug_DonaldJTrump_1_89",3
"inaug_DonaldJTrump_1_90",3
"inaug_DonaldJTrump_1_91",3
"inaug_DonaldJTrump_1_92",6
"inaug_DonaldJTrump_1_93",6
"inaug_DonaldJTrump_1_94",6
"nomin_HillaryClinton_1_2",8
"nomin_HillaryClinton_1_3",8
"nomin_HillaryClinton_1_4",8
"nomin_HillaryClinton_1_5",8
"nomin_HillaryClinton_1_6",8
"nomin_HillaryClinton_1_7",8
"nomin_HillaryClinton_1_8",6
"nomin_HillaryClinton_1_9",10
"nomin_HillaryClinton_1_10",6
"nomin_HillaryClinton_1_11",6
"nomin_HillaryClinton_1_12",6
"nomin_HillaryClinton_1_13",8
"nomin_HillaryClinton_1_14",6
"nomin_HillaryClinton_1_15",8
"nomin_HillaryClinton_1_16",8
"nomin_HillaryClinton_1_17",8
"nomin_HillaryClinton_1_18",8
"nomin_HillaryClinton_1_19",8
"nomin_HillaryClinton_1_20",8
"nomin_HillaryClinton_1_21",8
"nomin_HillaryClinton_1_22",8
"nomin_HillaryClinton_1_23",8
"nomin_HillaryClinton_1_24",6
"nomin_HillaryClinton_1_25",6
"nomin_HillaryClinton_1_26",6
"nomin_HillaryClinton_1_27",10
"nomin_HillaryClinton_1_28",14
"nomin_HillaryClinton_1_29",13
"nomin_HillaryClinton_1_30",13
"nomin_HillaryClinton_1_31",13
"nomin_HillaryClinton_1_32",10
"nomin_HillaryClinton_1_33",6
"nomin_HillaryClinton_1_34",6
"nomin_HillaryClinton_1_35",6
"nomin_HillaryClinton_1_36",6
"nomin_HillaryClinton_1_37",8
"nomin_HillaryClinton_1_38",15
"nomin_HillaryClinton_1_39",15
"nomin_HillaryClinton_1_40",15
"nomin_HillaryClinton_1_41",11
"nomin_HillaryClinton_1_42",10
"nomin_HillaryClinton_1_43",14
"nomin_HillaryClinton_1_44",15
"nomin_HillaryClinton_1_45",3
"nomin_HillaryClinton_1_46",3
"nomin_HillaryClinton_1_47",10
"nomin_HillaryClinton_1_48",10
"nomin_HillaryClinton_1_49",10
"nomin_HillaryClinton_1_50",10
"nomin_HillaryClinton_1_51",13
"nomin_HillaryClinton_1_52",13
"nomin_HillaryClinton_1_53",13
"nomin_HillaryClinton_1_54",13
"nomin_HillaryClinton_1_55",3
"nomin_HillaryClinton_1_56",3
"nomin_HillaryClinton_1_57",3
"nomin_HillaryClinton_1_58",7
"nomin_HillaryClinton_1_59",7
"nomin_HillaryClinton_1_60",11
"nomin_HillaryClinton_1_61",11
"nomin_HillaryClinton_1_62",10
"nomin_HillaryClinton_1_63",10
"nomin_HillaryClinton_1_64",7
"nomin_HillaryClinton_1_65",10
"nomin_HillaryClinton_1_66",15
"nomin_HillaryClinton_1_67",15
"nomin_HillaryClinton_1_68",14
"nomin_HillaryClinton_1_69",14
"nomin_HillaryClinton_1_70",14
"nomin_HillaryClinton_1_71",10
"nomin_HillaryClinton_1_72",10
"nomin_HillaryClinton_1_73",10
"nomin_HillaryClinton_1_74",10
"nomin_HillaryClinton_1_75",10
"nomin_HillaryClinton_1_76",10
"nomin_HillaryClinton_1_77",10
"nomin_HillaryClinton_1_78",10
"nomin_HillaryClinton_1_79",13
"nomin_HillaryClinton_1_80",10
"nomin_HillaryClinton_1_81",6
"nomin_HillaryClinton_1_82",10
"nomin_HillaryClinton_1_83",10
"nomin_HillaryClinton_1_84",10
"nomin_HillaryClinton_1_85",6
"nomin_HillaryClinton_1_86",6
"nomin_HillaryClinton_1_87",10
"nomin_HillaryClinton_1_88",10
"nomin_HillaryClinton_1_89",10
"nomin_HillaryClinton_1_90",8
"nomin_HillaryClinton_1_91",8
"nomin_HillaryClinton_1_92",15
"nomin_HillaryClinton_1_93",8
"nomin_HillaryClinton_1_94",3
"nomin_HillaryClinton_1_95",7
"nomin_HillaryClinton_1_96",3
"nomin_HillaryClinton_1_97",15
"nomin_HillaryClinton_1_98",10
"nomin_HillaryClinton_1_99",7
"nomin_HillaryClinton_1_100",7
"nomin_HillaryClinton_1_101",6
"nomin_HillaryClinton_1_102",8
"nomin_HillaryClinton_1_103",8
"nomin_HillaryClinton_1_104",13
"nomin_HillaryClinton_1_105",8
"nomin_HillaryClinton_1_106",8
"nomin_HillaryClinton_1_107",8
"nomin_HillaryClinton_1_108",2
"nomin_HillaryClinton_1_109",10
"nomin_HillaryClinton_1_110",10
"nomin_HillaryClinton_1_111",10
"nomin_HillaryClinton_1_112",15
"nomin_HillaryClinton_1_113",15
"nomin_HillaryClinton_1_114",15
"nomin_HillaryClinton_1_115",6
"nomin_HillaryClinton_1_116",6
"nomin_HillaryClinton_1_117",6
"nomin_HillaryClinton_1_118",7
"nomin_HillaryClinton_1_119",6
"nomin_HillaryClinton_1_120",6
"nomin_HillaryClinton_1_121",6
"nomin_HillaryClinton_1_122",6
"nomin_HillaryClinton_1_123",6
"nomin_HillaryClinton_1_124",8
"nomin_HillaryClinton_1_125",8
"nomin_HillaryClinton_1_126",6
"nomin_HillaryClinton_1_127",6
"nomin_HillaryClinton_1_128",13
"nomin_HillaryClinton_1_129",7
"nomin_HillaryClinton_1_130",6
"nomin_HillaryClinton_1_131",6
"nomin_HillaryClinton_1_132",6
"nomin_HillaryClinton_1_133",10
"nomin_HillaryClinton_1_134",6
"nomin_HillaryClinton_1_135",13
"nomin_HillaryClinton_1_136",13
"nomin_HillaryClinton_1_137",7
"nomin_HillaryClinton_1_138",7
"nomin_HillaryClinton_1_139",7
"nomin_HillaryClinton_1_140",7
"nomin_HillaryClinton_1_141",7
"nomin_HillaryClinton_1_142",13
"nomin_HillaryClinton_1_143",13
"nomin_HillaryClinton_1_144",13
"nomin_HillaryClinton_1_145",6
"nomin_HillaryClinton_1_146",10
"nomin_HillaryClinton_1_147",10
"nomin_HillaryClinton_1_148",10
"nomin_HillaryClinton_1_149",10
"nomin_HillaryClinton_1_150",6
"nomin_HillaryClinton_1_151",6
"nomin_HillaryClinton_1_152",6
"nomin_HillaryClinton_1_153",6
"nomin_HillaryClinton_1_154",7
"nomin_HillaryClinton_1_155",7
"nomin_HillaryClinton_1_156",7
"nomin_HillaryClinton_1_157",8
"nomin_HillaryClinton_1_158",8
"nomin_HillaryClinton_1_159",8
"nomin_HillaryClinton_1_160",8
"nomin_HillaryClinton_1_161",6
"nomin_HillaryClinton_1_162",6
"nomin_HillaryClinton_1_163",12
"nomin_HillaryClinton_1_164",9
"nomin_HillaryClinton_1_165",8
"nomin_HillaryClinton_1_166",6
"nomin_HillaryClinton_1_167",6
"nomin_HillaryClinton_1_168",6
"nomin_HillaryClinton_1_169",6
"nomin_HillaryClinton_1_170",6
"nomin_HillaryClinton_1_171",7
"nomin_HillaryClinton_1_172",15
"nomin_HillaryClinton_1_173",15
"nomin_HillaryClinton_1_174",8
"nomin_HillaryClinton_1_175",8
"nomin_HillaryClinton_1_176",8
"nomin_HillaryClinton_1_177",7
"nomin_HillaryClinton_1_178",7
"nomin_HillaryClinton_1_179",7
"nomin_HillaryClinton_1_180",10
"nomin_HillaryClinton_1_181",10
"nomin_HillaryClinton_1_182",10
"nomin_HillaryClinton_1_183",10
"nomin_HillaryClinton_1_184",14
"nomin_HillaryClinton_1_185",13
"nomin_HillaryClinton_1_186",7
"nomin_HillaryClinton_1_187",13
"nomin_HillaryClinton_1_188",10
"nomin_HillaryClinton_1_189",7
"nomin_HillaryClinton_1_190",8
"nomin_HillaryClinton_1_191",7
"nomin_HillaryClinton_1_192",7
"nomin_HillaryClinton_1_193",7
"nomin_HillaryClinton_1_194",7
"nomin_HillaryClinton_1_195",7
"nomin_HillaryClinton_1_196",5
"nomin_HillaryClinton_1_197",5
"nomin_HillaryClinton_1_198",13
"nomin_HillaryClinton_1_199",7
"nomin_HillaryClinton_1_200",7
"nomin_HillaryClinton_1_201",7
"nomin_HillaryClinton_1_202",7
"nomin_HillaryClinton_1_203",7
"nomin_HillaryClinton_1_204",7
"nomin_HillaryClinton_1_205",14
"nomin_HillaryClinton_1_206",12
"nomin_HillaryClinton_1_207",7
"nomin_HillaryClinton_1_208",7
"nomin_HillaryClinton_1_209",7
"nomin_HillaryClinton_1_210",7
"nomin_HillaryClinton_1_211",7
"nomin_HillaryClinton_1_212",7
"nomin_HillaryClinton_1_213",10
"nomin_HillaryClinton_1_214",10
"nomin_HillaryClinton_1_215",10
"nomin_HillaryClinton_1_216",10
"nomin_HillaryClinton_1_217",10
"nomin_HillaryClinton_1_218",7
"nomin_HillaryClinton_1_219",7
"nomin_HillaryClinton_1_220",7
"nomin_HillaryClinton_1_221",7
"nomin_HillaryClinton_1_222",7
"nomin_HillaryClinton_1_223",7
"nomin_HillaryClinton_1_224",7
"nomin_HillaryClinton_1_225",7
"nomin_HillaryClinton_1_226",3
"nomin_HillaryClinton_1_227",3
"nomin_HillaryClinton_1_228",3
"nomin_HillaryClinton_1_229",7
"nomin_HillaryClinton_1_230",7
"nomin_HillaryClinton_1_231",7
"nomin_HillaryClinton_1_232",7
"nomin_HillaryClinton_1_233",7
"nomin_HillaryClinton_1_234",7
"nomin_HillaryClinton_1_235",7
"nomin_HillaryClinton_1_236",7
"nomin_HillaryClinton_1_237",7
"nomin_HillaryClinton_1_238",7
"nomin_HillaryClinton_1_239",7
"nomin_HillaryClinton_1_240",7
"nomin_HillaryClinton_1_241",10
"nomin_HillaryClinton_1_242",10
"nomin_HillaryClinton_1_243",7
"nomin_HillaryClinton_1_244",7
"nomin_HillaryClinton_1_245",7
"nomin_HillaryClinton_1_246",10
"nomin_HillaryClinton_1_247",10
"nomin_HillaryClinton_1_248",10
"nomin_HillaryClinton_1_249",6
"nomin_HillaryClinton_1_250",8
"nomin_HillaryClinton_1_251",7
"nomin_HillaryClinton_1_252",7
"nomin_HillaryClinton_1_253",10
"nomin_HillaryClinton_1_254",10
"nomin_HillaryClinton_1_255",10
"nomin_HillaryClinton_1_256",10
"nomin_HillaryClinton_1_257",10
"nomin_HillaryClinton_1_258",10
"nomin_HillaryClinton_1_259",10
"nomin_HillaryClinton_1_260",10
"nomin_HillaryClinton_1_261",10
"nomin_HillaryClinton_1_262",11
"nomin_HillaryClinton_1_263",11
"nomin_HillaryClinton_1_264",7
"nomin_HillaryClinton_1_265",3
"nomin_HillaryClinton_1_266",3
"nomin_HillaryClinton_1_267",11
"nomin_HillaryClinton_1_268",11
"nomin_HillaryClinton_1_269",11
"nomin_HillaryClinton_1_270",11
"nomin_HillaryClinton_1_271",11
"nomin_HillaryClinton_1_272",11
"nomin_HillaryClinton_1_273",11
"nomin_HillaryClinton_1_274",11
"nomin_HillaryClinton_1_275",3
"nomin_HillaryClinton_1_276",10
"nomin_HillaryClinton_1_277",10
"nomin_HillaryClinton_1_278",10
"nomin_HillaryClinton_1_279",10
"nomin_HillaryClinton_1_280",10
"nomin_HillaryClinton_1_281",11
"nomin_HillaryClinton_1_282",11
"nomin_HillaryClinton_1_283",11
"nomin_HillaryClinton_1_284",10
"nomin_HillaryClinton_1_285",10
"nomin_HillaryClinton_1_286",10
"nomin_HillaryClinton_1_287",10
"nomin_HillaryClinton_1_288",10
"nomin_HillaryClinton_1_289",11
"nomin_HillaryClinton_1_290",11
"nomin_HillaryClinton_1_291",10
"nomin_HillaryClinton_1_292",10
"nomin_HillaryClinton_1_293",8
"nomin_HillaryClinton_1_294",10
"nomin_HillaryClinton_1_295",8
"nomin_HillaryClinton_1_296",7
"nomin_HillaryClinton_1_297",10
"nomin_HillaryClinton_1_298",10
"nomin_HillaryClinton_1_299",10
"nomin_HillaryClinton_1_300",6
"nomin_HillaryClinton_1_301",10
"nomin_HillaryClinton_1_302",10
"nomin_HillaryClinton_1_303",10
"nomin_HillaryClinton_1_304",10
"nomin_HillaryClinton_1_305",10
"nomin_HillaryClinton_1_306",10
"nomin_HillaryClinton_1_307",10
"nomin_HillaryClinton_1_308",10
"nomin_HillaryClinton_1_309",14
"nomin_HillaryClinton_1_310",14
"nomin_HillaryClinton_1_311",14
"nomin_HillaryClinton_1_312",10
"nomin_HillaryClinton_1_313",10
"nomin_HillaryClinton_1_314",10
"nomin_HillaryClinton_1_315",10
"nomin_HillaryClinton_1_316",10
"nomin_HillaryClinton_1_317",10
"nomin_HillaryClinton_1_318",10
"nomin_HillaryClinton_1_319",10
"nomin_HillaryClinton_1_320",13
"nomin_HillaryClinton_1_321",10
"nomin_HillaryClinton_1_322",10
"nomin_HillaryClinton_1_323",15
"nomin_HillaryClinton_1_324",15
"nomin_HillaryClinton_1_325",15
"nomin_HillaryClinton_1_326",10
"nomin_HillaryClinton_1_327",10
"nomin_HillaryClinton_1_328",10
"nomin_HillaryClinton_1_329",10
"nomin_HillaryClinton_1_330",10
"nomin_HillaryClinton_1_331",10
"nomin_HillaryClinton_1_332",10
"nomin_HillaryClinton_1_333",7
"nomin_HillaryClinton_1_334",10
"nomin_HillaryClinton_1_335",7
"nomin_HillaryClinton_1_336",7
"nomin_HillaryClinton_1_337",7
"nomin_HillaryClinton_1_338",6
"nomin_HillaryClinton_1_339",6
"nomin_HillaryClinton_1_340",15
"nomin_HillaryClinton_1_341",10
"nomin_HillaryClinton_1_342",10
"nomin_HillaryClinton_1_343",15
"nomin_HillaryClinton_1_344",15
"nomin_HillaryClinton_1_345",15
"nomin_HillaryClinton_1_346",15
"nomin_HillaryClinton_1_347",15
"nomin_HillaryClinton_1_348",15
"nomin_HillaryClinton_1_349",15
"nomin_HillaryClinton_1_350",15
"nomin_HillaryClinton_1_351",15
"nomin_BarackObama_2_2",8
"nomin_BarackObama_2_3",8
"nomin_BarackObama_2_4",8
"nomin_BarackObama_2_5",8
"nomin_BarackObama_2_6",8
"nomin_BarackObama_2_7",8
"nomin_BarackObama_2_8",8
"nomin_BarackObama_2_9",8
"nomin_BarackObama_2_10",8
"nomin_BarackObama_2_11",8
"nomin_BarackObama_2_12",8
"nomin_BarackObama_2_13",8
"nomin_BarackObama_2_14",8
"nomin_BarackObama_2_15",8
"nomin_BarackObama_2_16",8
"nomin_BarackObama_2_17",8
"nomin_BarackObama_2_18",8
"nomin_BarackObama_2_19",6
"nomin_BarackObama_2_20",6
"nomin_BarackObama_2_21",8
"nomin_BarackObama_2_22",8
"nomin_BarackObama_2_23",8
"nomin_BarackObama_2_24",8
"nomin_BarackObama_2_25",8
"nomin_BarackObama_2_26",8
"nomin_BarackObama_2_27",8
"nomin_BarackObama_2_28",8
"nomin_BarackObama_2_29",8
"nomin_BarackObama_2_30",8
"nomin_BarackObama_2_31",8
"nomin_BarackObama_2_32",12
"nomin_BarackObama_2_33",4
"nomin_BarackObama_2_34",3
"nomin_BarackObama_2_35",3
"nomin_BarackObama_2_36",7
"nomin_BarackObama_2_37",12
"nomin_BarackObama_2_38",12
"nomin_BarackObama_2_39",12
"nomin_BarackObama_2_40",12
"nomin_BarackObama_2_41",11
"nomin_BarackObama_2_42",6
"nomin_BarackObama_2_43",7
"nomin_BarackObama_2_44",6
"nomin_BarackObama_2_45",7
"nomin_BarackObama_2_46",7
"nomin_BarackObama_2_47",7
"nomin_BarackObama_2_48",7
"nomin_BarackObama_2_49",10
"nomin_BarackObama_2_50",10
"nomin_BarackObama_2_51",10
"nomin_BarackObama_2_52",10
"nomin_BarackObama_2_53",7
"nomin_BarackObama_2_54",7
"nomin_BarackObama_2_55",2
"nomin_BarackObama_2_56",7
"nomin_BarackObama_2_57",7
"nomin_BarackObama_2_58",7
"nomin_BarackObama_2_59",7
"nomin_BarackObama_2_60",7
"nomin_BarackObama_2_61",7
"nomin_BarackObama_2_62",10
"nomin_BarackObama_2_63",10
"nomin_BarackObama_2_64",13
"nomin_BarackObama_2_65",10
"nomin_BarackObama_2_66",10
"nomin_BarackObama_2_67",10
"nomin_BarackObama_2_68",8
"nomin_BarackObama_2_69",8
"nomin_BarackObama_2_70",13
"nomin_BarackObama_2_71",13
"nomin_BarackObama_2_72",13
"nomin_BarackObama_2_73",15
"nomin_BarackObama_2_74",15
"nomin_BarackObama_2_75",15
"nomin_BarackObama_2_76",15
"nomin_BarackObama_2_77",8
"nomin_BarackObama_2_78",8
"nomin_BarackObama_2_79",8
"nomin_BarackObama_2_80",8
"nomin_BarackObama_2_81",1
"nomin_BarackObama_2_82",3
"nomin_BarackObama_2_83",7
"nomin_BarackObama_2_84",10
"nomin_BarackObama_2_85",10
"nomin_BarackObama_2_86",7
"nomin_BarackObama_2_87",7
"nomin_BarackObama_2_88",7
"nomin_BarackObama_2_89",8
"nomin_BarackObama_2_90",8
"nomin_BarackObama_2_98",8
"nomin_BarackObama_2_99",7
"nomin_BarackObama_2_100",7
"nomin_BarackObama_2_101",7
"nomin_BarackObama_2_102",7
"nomin_BarackObama_2_103",15
"nomin_BarackObama_2_104",15
"nomin_BarackObama_2_105",7
"nomin_BarackObama_2_106",7
"nomin_BarackObama_2_107",7
"nomin_BarackObama_2_108",7
"nomin_BarackObama_2_109",8
"nomin_BarackObama_2_110",15
"nomin_BarackObama_2_111",7
"nomin_BarackObama_2_112",7
"nomin_BarackObama_2_113",7
"nomin_BarackObama_2_114",7
"nomin_BarackObama_2_115",7
"nomin_BarackObama_2_116",7
"nomin_BarackObama_2_117",7
"nomin_BarackObama_2_118",7
"nomin_BarackObama_2_119",7
"nomin_BarackObama_2_120",7
"nomin_BarackObama_2_121",7
"nomin_BarackObama_2_122",15
"nomin_BarackObama_2_123",15
"nomin_BarackObama_2_124",15
"nomin_BarackObama_2_125",15
"nomin_BarackObama_2_126",15
"nomin_BarackObama_2_127",15
"nomin_BarackObama_2_128",7
"nomin_BarackObama_2_129",7
"nomin_BarackObama_2_130",7
"nomin_BarackObama_2_131",7
"nomin_BarackObama_2_132",7
"nomin_BarackObama_2_133",7
"nomin_BarackObama_2_134",7
"nomin_BarackObama_2_135",15
"nomin_BarackObama_2_136",9
"nomin_BarackObama_2_137",9
"nomin_BarackObama_2_138",9
"nomin_BarackObama_2_139",9
"nomin_BarackObama_2_140",7
"nomin_BarackObama_2_141",7
"nomin_BarackObama_2_142",7
"nomin_BarackObama_2_143",7
"nomin_BarackObama_2_144",7
"nomin_BarackObama_2_145",7
"nomin_BarackObama_2_146",7
"nomin_BarackObama_2_147",15
"nomin_BarackObama_2_148",15
"nomin_BarackObama_2_149",15
"nomin_BarackObama_2_150",15
"nomin_BarackObama_2_151",11
"nomin_BarackObama_2_152",11
"nomin_BarackObama_2_153",11
"nomin_BarackObama_2_154",11
"nomin_BarackObama_2_155",11
"nomin_BarackObama_2_156",15
"nomin_BarackObama_2_157",8
"nomin_BarackObama_2_165",8
"nomin_BarackObama_2_166",3
"nomin_BarackObama_2_167",3
"nomin_BarackObama_2_168",3
"nomin_BarackObama_2_169",3
"nomin_BarackObama_2_170",3
"nomin_BarackObama_2_171",11
"nomin_BarackObama_2_172",10
"nomin_BarackObama_2_173",11
"nomin_BarackObama_2_174",14
"nomin_BarackObama_2_175",14
"nomin_BarackObama_2_176",9
"nomin_BarackObama_2_177",11
"nomin_BarackObama_2_178",11
"nomin_BarackObama_2_179",11
"nomin_BarackObama_2_180",14
"nomin_BarackObama_2_181",15
"nomin_BarackObama_2_182",10
"nomin_BarackObama_2_183",10
"nomin_BarackObama_2_184",11
"nomin_BarackObama_2_185",11
"nomin_BarackObama_2_186",11
"nomin_BarackObama_2_187",7
"nomin_BarackObama_2_188",7
"nomin_BarackObama_2_189",7
"nomin_BarackObama_2_190",7
"nomin_BarackObama_2_191",7
"nomin_BarackObama_2_192",7
"nomin_BarackObama_2_193",7
"nomin_BarackObama_2_194",7
"nomin_BarackObama_2_195",7
"nomin_BarackObama_2_196",13
"nomin_BarackObama_2_197",13
"nomin_BarackObama_2_198",7
"nomin_BarackObama_2_199",7
"nomin_BarackObama_2_200",7
"nomin_BarackObama_2_201",7
"nomin_BarackObama_2_202",7
"nomin_BarackObama_2_203",7
"nomin_BarackObama_2_204",7
"nomin_BarackObama_2_205",7
"nomin_BarackObama_2_206",7
"nomin_BarackObama_2_207",7
"nomin_BarackObama_2_208",7
"nomin_BarackObama_2_209",7
"nomin_BarackObama_2_210",13
"nomin_BarackObama_2_211",10
"nomin_BarackObama_2_212",10
"nomin_BarackObama_2_213",7
"nomin_BarackObama_2_214",7
"nomin_BarackObama_2_215",7
"nomin_BarackObama_2_216",7
"nomin_BarackObama_2_217",7
"nomin_BarackObama_2_218",14
"nomin_BarackObama_2_219",14
"nomin_BarackObama_2_220",9
"nomin_BarackObama_2_221",9
"nomin_BarackObama_2_222",7
"nomin_BarackObama_2_223",7
"nomin_BarackObama_2_224",14
"nomin_BarackObama_2_225",7
"nomin_BarackObama_2_226",7
"nomin_BarackObama_2_227",7
"nomin_BarackObama_2_228",7
"nomin_BarackObama_2_229",7
"nomin_BarackObama_2_230",10
"nomin_BarackObama_2_231",10
"nomin_BarackObama_2_232",10
"nomin_BarackObama_2_233",14
"nomin_BarackObama_2_234",14
"nomin_BarackObama_2_235",13
"nomin_BarackObama_2_236",13
"nomin_BarackObama_2_237",10
"nomin_BarackObama_2_238",8
"nomin_BarackObama_2_239",8
"nomin_BarackObama_2_240",10
"nomin_BarackObama_2_241",10
"nomin_BarackObama_2_242",6
"nomin_BarackObama_2_243",6
"nomin_BarackObama_2_244",6
"nomin_BarackObama_2_245",6
"nomin_BarackObama_2_246",3
"nomin_BarackObama_2_247",6
"nomin_BarackObama_2_248",6
"nomin_BarackObama_2_249",7
"nomin_BarackObama_2_251",13
"nomin_BarackObama_2_252",13
"nomin_BarackObama_2_253",13
"nomin_BarackObama_2_254",3
"nomin_BarackObama_2_255",3
"nomin_BarackObama_2_256",3
"nomin_BarackObama_2_257",8
"nomin_BarackObama_2_258",8
"nomin_BarackObama_2_259",13
"nomin_BarackObama_2_260",13
"nomin_BarackObama_2_261",3
"nomin_BarackObama_2_262",6
"nomin_BarackObama_2_263",10
"nomin_BarackObama_2_264",10
"nomin_BarackObama_2_265",14
"nomin_BarackObama_2_266",10
"nomin_BarackObama_2_267",15
"nomin_BarackObama_2_268",15
"nomin_BarackObama_2_269",6
"nomin_BarackObama_2_270",6
"nomin_BarackObama_2_271",7
"nomin_BarackObama_2_272",6
"nomin_BarackObama_2_273",6
"nomin_BarackObama_2_274",6
"nomin_BarackObama_2_275",6
"nomin_BarackObama_2_276",6
"nomin_BarackObama_2_277",10
"nomin_BarackObama_2_278",14
"nomin_BarackObama_2_279",10
"nomin_BarackObama_2_280",15
"nomin_BarackObama_2_281",6
"nomin_BarackObama_2_282",6
"nomin_BarackObama_2_283",15
"nomin_BarackObama_2_284",7
"nomin_BarackObama_2_285",7
"nomin_BarackObama_2_286",7
"nomin_BarackObama_2_287",15
"nomin_BarackObama_2_288",15
"nomin_BarackObama_2_289",10
"nomin_BarackObama_2_290",10
"nomin_BarackObama_2_291",6
"nomin_BarackObama_2_292",6
"nomin_BarackObama_2_293",6
"nomin_BarackObama_1_2",8
"nomin_BarackObama_1_3",8
"nomin_BarackObama_1_4",8
"nomin_BarackObama_1_5",8
"nomin_BarackObama_1_6",8
"nomin_BarackObama_1_7",8
"nomin_BarackObama_1_8",8
"nomin_BarackObama_1_9",6
"nomin_BarackObama_1_10",6
"nomin_BarackObama_1_11",6
"nomin_BarackObama_1_12",15
"nomin_BarackObama_1_13",15
"nomin_BarackObama_1_14",15
"nomin_BarackObama_1_15",7
"nomin_BarackObama_1_16",7
"nomin_BarackObama_1_17",7
"nomin_BarackObama_1_18",7
"nomin_BarackObama_1_19",4
"nomin_BarackObama_1_20",8
"nomin_BarackObama_1_21",8
"nomin_BarackObama_1_22",8
"nomin_BarackObama_1_23",6
"nomin_BarackObama_1_24",10
"nomin_BarackObama_1_25",10
"nomin_BarackObama_1_26",7
"nomin_BarackObama_1_27",6
"nomin_BarackObama_1_28",8
"nomin_BarackObama_1_29",8
"nomin_BarackObama_1_30",8
"nomin_BarackObama_1_31",8
"nomin_BarackObama_1_32",8
"nomin_BarackObama_1_33",13
"nomin_BarackObama_1_34",8
"nomin_BarackObama_1_35",10
"nomin_BarackObama_1_36",8
"nomin_BarackObama_1_37",10
"nomin_BarackObama_1_38",7
"nomin_BarackObama_1_39",7
"nomin_BarackObama_1_40",8
"nomin_BarackObama_1_41",8
"nomin_BarackObama_1_42",8
"nomin_BarackObama_1_43",10
"nomin_BarackObama_1_44",10
"nomin_BarackObama_1_45",10
"nomin_BarackObama_1_46",10
"nomin_BarackObama_1_47",10
"nomin_BarackObama_1_48",10
"nomin_BarackObama_1_49",10
"nomin_BarackObama_1_50",7
"nomin_BarackObama_1_51",7
"nomin_BarackObama_1_52",7
"nomin_BarackObama_1_53",7
"nomin_BarackObama_1_54",8
"nomin_BarackObama_1_55",10
"nomin_BarackObama_1_56",10
"nomin_BarackObama_1_57",10
"nomin_BarackObama_1_58",7
"nomin_BarackObama_1_59",7
"nomin_BarackObama_1_60",7
"nomin_BarackObama_1_61",10
"nomin_BarackObama_1_62",10
"nomin_BarackObama_1_63",10
"nomin_BarackObama_1_64",13
"nomin_BarackObama_1_65",12
"nomin_BarackObama_1_66",13
"nomin_BarackObama_1_67",7
"nomin_BarackObama_1_68",7
"nomin_BarackObama_1_69",7
"nomin_BarackObama_1_70",7
"nomin_BarackObama_1_71",7
"nomin_BarackObama_1_72",7
"nomin_BarackObama_1_73",7
"nomin_BarackObama_1_74",7
"nomin_BarackObama_1_75",6
"nomin_BarackObama_1_76",6
"nomin_BarackObama_1_77",6
"nomin_BarackObama_1_78",10
